id,x_pixel,y_pixel,z
0,282,370,-2.3548972194475937e-07
1,242,340,-0.0420532301068306
2,233,288,-0.06457985192537308
3,253,245,-0.07053370028734207
4,271,222,-0.07369352132081985
5,264,302,-0.13206498324871063
6,272,228,-0.15075147151947021
7,269,189,-0.13875903189182281
8,265,165,-0.12735611200332642
9,301,306,-0.1129869893193245
10,304,222,-0.14091208577156067
11,291,183,-0.13037139177322388
12,277,162,-0.11815003305673599
13,327,304,-0.08898552507162094
14,326,230,-0.1110822856426239
15,312,194,-0.10541331768035889
16,300,173,-0.09761969745159149
17,344,301,-0.06518146395683289
18,329,247,-0.0814671665430069
19,314,221,-0.08158829808235168
20,303,206,-0.07853274047374725
