id,x_pixel,y_pixel,z_normalized,z_depth
0,438,226,3.185273271810729e-07,8636
1,445,206,-0.04308191314339638,8745
2,441,172,-0.07643871754407883,8880
3,430,135,-0.10154431313276291,9062
4,423,110,-0.12533776462078094,0
5,404,186,-0.09150135517120361,0
6,396,125,-0.12814907729625702,0
7,406,93,-0.14270076155662537,5778
8,415,73,-0.14802543818950653,0
9,382,196,-0.08174706995487213,3124
10,378,128,-0.11298535764217377,0
11,394,96,-0.11410697549581528,5604
12,406,77,-0.11097359657287598,5892
13,370,201,-0.07311975210905075,3108
14,369,134,-0.09970473498106003,3150
15,382,108,-0.09759345650672913,5456
16,391,93,-0.09089947491884232,5607
17,366,200,-0.06742487102746964,3113
18,365,150,-0.08339016139507294,3105
19,373,130,-0.08159448206424713,3174
20,378,117,-0.07634840160608292,0
