id,x_pixel,y_pixel,z_normalized,z_depth
0,324,305,-2.108995289518134e-07,4448
1,293,274,-0.04641512781381607,2999
2,280,238,-0.09454531967639923,2788
3,281,206,-0.12212207913398743,2766
4,291,173,-0.15071265399456024,2816
5,305,243,-0.21493308246135712,2836
6,301,179,-0.2553097605705261,2869
7,294,142,-0.25366508960723877,5089
8,293,114,-0.24871912598609924,5239
9,338,246,-0.19386382400989532,0
10,337,169,-0.25059160590171814,0
11,326,127,-0.2544953525066376,0
12,315,100,-0.25624221563339233,0
13,364,244,-0.15945906937122345,4618
14,354,174,-0.20077601075172424,4936
15,339,134,-0.19873517751693726,5306
16,326,109,-0.19563619792461395,5452
17,380,241,-0.12197589874267578,4571
18,367,186,-0.1361008882522583,4828
19,355,159,-0.1265910118818283,4993
20,343,142,-0.12157803773880005,5306
