id,x_pixel,y_pixel,z_normalized,z_depth
0,314,100,4.3134258476129617e-07,7131
1,356,99,-0.010235913097858429,6929
2,388,107,-0.026370661333203316,0
3,408,122,-0.041294682770967484,0
4,425,134,-0.05728781223297119,0
5,386,90,-0.05660366266965866,0
6,397,103,-0.08322498947381973,0
7,409,116,-0.10003035515546799,0
8,420,129,-0.11250679194927216,0
9,361,88,-0.06743157655000687,6949
10,367,133,-0.099136121571064,0
11,369,168,-0.1116989254951477,6221
12,371,198,-0.12045418471097946,6117
13,334,93,-0.07700885832309723,7106
14,341,135,-0.10817022621631622,3436
15,345,165,-0.11565875262022018,0
16,348,187,-0.11892276257276535,0
17,310,100,-0.08649078756570816,7126
18,313,122,-0.11028585582971573,0
19,315,130,-0.11502639949321747,3422
20,316,133,-0.11722738295793533,3413
