id,x_pixel,y_pixel,z
0,383,192,-5.920594503550092e-07
1,350,197,-0.05032136291265488
2,325,197,-0.08726097643375397
3,328,216,-0.11879480630159378
4,349,234,-0.14716942608356476
5,339,143,-0.0915030688047409
6,327,153,-0.13551025092601776
7,317,157,-0.15599016845226288
8,311,164,-0.16475799679756165
9,372,137,-0.08401497453451157
10,366,199,-0.12722840905189514
11,360,229,-0.13519498705863953
12,356,240,-0.1368626058101654
13,400,149,-0.07965303957462311
14,397,206,-0.13273067772388458
15,384,232,-0.13547657430171967
16,373,244,-0.126729354262352
17,423,165,-0.07844395935535431
18,430,188,-0.12669691443443298
19,440,196,-0.1361314356327057
20,450,201,-0.13265953958034515
