id,x_pixel,y_pixel,z_normalized,z_depth
0,177,251,2.1487097967565205e-07,3462
1,220,215,-0.004034480545669794,5694
2,266,213,-0.032262109220027924,0
3,299,235,-0.051135968416929245,3335
4,316,263,-0.06689079850912094,5272
5,265,212,-0.13590630888938904,5496
6,315,221,-0.15148486196994781,5496
7,310,230,-0.14170856773853302,3361
8,302,244,-0.13592413067817688,3350
9,258,245,-0.13703970611095428,3262
10,329,234,-0.16618074476718903,3399
11,363,229,-0.1620316207408905,0
12,382,226,-0.1643177717924118,5867
13,253,274,-0.12401147186756134,3295
14,319,271,-0.11926939338445663,5213
15,309,263,-0.07660151273012161,0
16,289,257,-0.05584421753883362,3573
17,249,299,-0.11078035086393356,4978
18,299,289,-0.09675294905900955,5086
19,292,279,-0.06335736066102982,3426
20,277,277,-0.04363473877310753,3324
