id,x_pixel,y_pixel,z_normalized,z_depth
0,486,202,1.1818719514167242e-07,10904
1,454,163,0.01833624579012394,11188
2,407,159,0.018476881086826324,6102
3,371,181,0.014978175051510334,3430
4,356,209,0.009242569096386433,3207
5,385,157,-0.0219782292842865,5992
6,336,185,-0.02759070135653019,3244
7,327,209,-0.028629915788769722,3201
8,327,226,-0.030987204983830452,3216
9,386,187,-0.039065223187208176,3451
10,325,200,-0.046294089406728745,3232
11,289,206,-0.05161593481898308,3265
12,264,211,-0.060007840394973755,0
13,392,220,-0.05021054297685623,3354
14,336,234,-0.05060203745961189,3210
15,351,232,-0.03828445076942444,3210
16,368,227,-0.03218681737780571,3263
17,405,249,-0.05970151722431183,0
18,369,258,-0.05919598788022995,3463
19,375,254,-0.0464584045112133,3435
20,385,247,-0.038082946091890335,3418
