id,x_pixel,y_pixel,z
0,205,190,1.019067710217314e-07
1,237,152,-0.0019931637216359377
2,280,144,-0.016376735642552376
3,319,153,-0.02643865905702114
4,343,170,-0.035044729709625244
5,290,150,-0.07921931892633438
6,353,156,-0.10197070240974426
7,378,171,-0.10545911639928818
8,390,187,-0.10553634166717529
9,291,181,-0.07950272411108017
10,363,166,-0.11142507940530777
11,401,161,-0.11421535164117813
12,422,161,-0.11448407173156738
13,291,210,-0.07201682031154633
14,359,205,-0.08216312527656555
15,354,199,-0.05149068310856819
16,341,196,-0.02798650600016117
17,289,234,-0.06451258063316345
18,341,223,-0.06058843433856964
19,339,214,-0.03410514071583748
20,325,211,-0.01233338750898838
