id,x_pixel,y_pixel,z
0,157,234,2.0404824851993908e-07
1,195,194,-0.007753666024655104
2,245,181,-0.0271564070135355
3,285,198,-0.038575563579797745
4,304,222,-0.04645895957946777
5,244,186,-0.11710116267204285
6,308,194,-0.132584348320961
7,298,201,-0.1094580814242363
8,281,205,-0.0901341512799263
9,239,225,-0.12124292552471161
10,320,227,-0.15994900465011597
11,360,235,-0.16194666922092438
12,393,239,-0.16127629578113556
13,234,259,-0.11617958545684814
14,306,259,-0.14871758222579956
15,344,263,-0.15538562834262848
16,373,263,-0.15728197991847992
17,227,286,-0.10647334158420563
18,281,287,-0.12593171000480652
19,311,285,-0.12836746871471405
20,334,283,-0.1294085830450058
