id,x_pixel,y_pixel,z
0,426,273,3.290534777988796e-07
1,395,240,0.00921910535544157
2,354,231,0.01874927058815956
3,316,230,0.03116440214216709
4,292,230,0.04677976295351982
5,330,260,-0.014493403024971485
6,286,249,-0.007691196631640196
7,286,240,0.010275784879922867
8,297,235,0.025545449927449226
9,331,287,-0.013736420311033726
10,273,284,-0.01631798781454563
11,241,279,-0.00951359886676073
12,220,276,-0.0025582171510905027
13,338,309,-0.009682209230959415
14,285,308,-0.012416459619998932
15,255,302,-0.013657549396157265
16,234,298,-0.012770824134349823
17,351,324,-0.002551975892856717
18,309,325,-0.004997489973902702
19,285,325,-0.006518252193927765
20,267,322,-0.005861583631485701
