id,x_pixel,y_pixel,z_normalized,z_depth
0,267,371,1.4261510727919813e-07,0
1,241,317,-0.055552080273628235,3445
2,244,268,-0.09266698360443115,3214
3,259,233,-0.117671899497509,3088
4,285,219,-0.13860464096069336,6113
5,329,279,-0.11422277987003326,3035
6,367,218,-0.15167349576950073,2976
7,387,181,-0.17350870370864868,0
8,406,155,-0.18745067715644836,6721
9,359,299,-0.09271080046892166,3227
10,407,238,-0.12224708497524261,5868
11,433,202,-0.13095799088478088,0
12,455,177,-0.13841447234153748,7672
13,375,321,-0.07042165100574493,0
14,420,276,-0.08871733397245407,5667
15,402,269,-0.07417508214712143,5650
16,382,271,-0.06089663505554199,0
17,384,341,-0.053323373198509216,5312
18,438,323,-0.07743819057941437,5546
19,469,311,-0.08158943802118301,0
20,497,303,-0.07931400090456009,0
