id,x_pixel,y_pixel,z_normalized,z_depth
0,233,329,5.230501756159356e-07,5279
1,277,297,-0.039063166826963425,0
2,301,249,-0.05932295694947243,0
3,318,212,-0.07547581940889359,0
4,332,176,-0.09440754354000092,5975
5,257,203,-0.06939149647951126,0
6,260,142,-0.10470064729452133,5938
7,263,101,-0.13011063635349274,0
8,265,66,-0.15019850432872772,0
9,228,205,-0.07500294595956802,3010
10,217,142,-0.11463958770036697,2947
11,212,97,-0.1470808982849121,0
12,208,60,-0.17269353568553925,0
13,200,221,-0.08251440525054932,2916
14,184,163,-0.12334778159856796,2737
15,174,119,-0.15452395379543304,2606
16,167,82,-0.17664065957069397,0
17,176,244,-0.0919472798705101,2868
18,150,204,-0.1331741362810135,2733
19,134,174,-0.15755866467952728,2639
20,120,146,-0.1741497963666916,0
