id,x_pixel,y_pixel,z_normalized,z_depth
0,227,341,5.588022418123728e-07,5288
1,271,307,-0.0420973002910614,5038
2,303,258,-0.06365496665239334,0
3,329,222,-0.08122991770505905,0
4,350,191,-0.10180574655532837,5749
5,250,211,-0.07714355736970901,0
6,258,150,-0.11355225741863251,5920
7,263,111,-0.13828618824481964,6498
8,267,76,-0.15857820212841034,0
9,216,215,-0.08454384654760361,2920
10,205,151,-0.12838220596313477,2780
11,198,106,-0.16368265450000763,2590
12,190,69,-0.19097477197647095,0
13,188,233,-0.0935712531208992,2852
14,166,178,-0.14247184991836548,2638
15,151,137,-0.17823807895183563,2501
16,137,103,-0.20236022770404816,0
17,165,263,-0.10408727824687958,2807
18,130,230,-0.15232209861278534,2608
19,106,206,-0.17898309230804443,2502
20,85,182,-0.1965060979127884,0
