id,x_pixel,y_pixel,z_normalized,z_depth
0,230,316,-4.2719287307591003e-07,3324
1,274,271,-0.006242918316274881,3224
2,319,245,-0.02487351931631565,3351
3,357,216,-0.041431933641433716,0
4,377,184,-0.05553354695439339,6710
5,356,285,-0.05973205715417862,3085
6,416,294,-0.06259354948997498,5821
7,398,288,-0.04518095403909683,5854
8,372,284,-0.03078814223408699,0
9,353,326,-0.05896563082933426,3258
10,411,327,-0.05436263605952263,5624
11,393,319,-0.03478260338306427,5646
12,371,315,-0.024074267596006393,0
13,344,362,-0.05367153137922287,5500
14,398,355,-0.04190552979707718,5512
15,380,347,-0.022832434624433517,5592
16,358,344,-0.015873949974775314,0
17,333,390,-0.048352111130952835,5408
18,379,380,-0.03978206589818001,5380
19,367,372,-0.024973172694444656,5459
20,349,368,-0.015275951474905014,5468
