id,x_pixel,y_pixel,z_normalized,z_depth,class
0,301,274,-1.8717813077273607e-07,3218,1
1,294,245,-0.0538477227091789,2986,1
2,307,209,-0.0891040861606597,2951,1
3,328,183,-0.1078508123755455,3001,1
4,349,166,-0.1249943152070045,6046,1
5,322,247,-0.1450953632593155,3035,1
6,347,199,-0.1782272011041641,3220,1
7,358,169,-0.1816678494215011,6108,1
8,366,146,-0.1802995204925537,6473,1
9,345,261,-0.124531865119934,3145,1
10,375,203,-0.1607416719198227,5742,1
11,382,167,-0.1578539907932281,6104,1
12,379,143,-0.1531540751457214,6683,1
13,362,266,-0.1006243228912353,5244,1
14,387,211,-0.1322935223579406,5834,1
15,389,179,-0.127824991941452,6006,1
16,384,158,-0.1209155023097992,6330,1
17,374,265,-0.0781375840306282,5364,1
18,390,223,-0.103138767182827,5940,1
19,390,198,-0.1040029749274253,5841,1
20,385,182,-0.1011411026120185,5928,1
0,61,388,-8.870036083408196e-08,0,1
1,66,405,-0.0411848500370979,0,1
2,61,432,-0.0515816695988178,0,1
3,61,456,-0.0523765869438648,0,1
4,63,475,-0.0522927865386009,0,1
5,31,445,-0.0281929746270179,0,1
6,33,476,-0.0368668064475059,0,1
7,40,496,-0.0461769960820674,-1,1
8,47,510,-0.0510942824184894,-1,1
9,31,443,-0.0064309006556868,0,1
10,38,471,-0.0085727218538522,0,1
11,48,493,-0.0147481961175799,-1,1
12,57,507,-0.0195725038647651,-1,1
13,36,441,0.0116354767233133,0,1
14,42,467,0.0041919173672795,0,1
15,51,486,-0.0066617443226277,-1,1
16,57,500,-0.0129064274951815,-1,1
17,42,439,0.0271983705461025,0,1
18,48,461,0.0197581797838211,0,1
19,54,476,0.0141481216996908,0,1
20,59,486,0.0113082816824316,-1,1
0,267,268,-3.300040702924889e-07,8766,1
1,248,224,-0.0233475919812917,3635,1
2,263,181,-0.0359380282461643,3453,1
3,293,154,-0.0396116450428962,3551,1
4,314,139,-0.0423272773623466,0,1
5,286,191,-0.0767820701003074,3464,1
6,313,135,-0.0902866572141647,0,1
7,318,105,-0.0854868739843368,6452,1
8,323,85,-0.0796594470739364,6545,1
9,311,207,-0.0667677074670791,3619,1
10,339,144,-0.0824993550777435,5969,1
11,336,110,-0.0731682479381561,6102,1
12,330,90,-0.0638615116477012,6435,1
13,330,218,-0.0540269277989864,5339,1
14,351,159,-0.06625547260046,5842,1
15,343,130,-0.057600911706686,5947,1
16,335,113,-0.0489148497581481,6080,1
17,342,224,-0.0417044088244438,5222,1
18,352,177,-0.0481248795986175,5706,1
19,343,157,-0.0425535924732685,5891,1
20,336,148,-0.0362833403050899,5972,1
0,69,391,-1.242896985331754e-07,0,1
1,73,409,-0.0379377007484436,0,1
2,67,434,-0.0464776642620563,0,1
3,67,459,-0.0466261766850948,0,1
4,70,477,-0.0457898117601871,0,1
5,37,448,-0.0203008446842432,0,1
6,41,477,-0.0273835137486457,0,1
7,51,495,-0.0358209051191806,-1,1
8,59,505,-0.0401223935186862,-1,1
9,40,446,-0.0002475321234669,0,1
10,48,472,-0.0017652073875069,0,1
11,60,489,-0.008371484465897,-1,1
12,71,500,-0.0129043189808726,-1,1
13,46,443,0.0159800369292497,0,1
14,55,467,0.0106423450633883,0,1
15,65,483,0.0008300756453536,-1,1
16,72,494,-0.0045744511298835,-1,1
17,53,440,0.0295441318303346,0,1
18,61,461,0.0234110336750745,0,1
19,68,473,0.0179728772491216,0,1
20,74,483,0.0157348830252885,-1,1
0,289,278,-2.639614535837609e-07,2956,1
1,283,250,-0.0750318616628646,2904,1
2,297,222,-0.1277478635311126,2840,1
3,320,199,-0.1589865684509277,2879,1
4,344,179,-0.1897466778755188,5690,1
5,312,271,-0.1893353462219238,2980,1
6,342,225,-0.2393847852945327,2987,1
7,351,193,-0.2509584724903106,5689,1
8,357,168,-0.2526381313800812,5856,1
9,337,281,-0.1589433550834655,3100,1
10,370,227,-0.2060011178255081,5709,1
11,373,189,-0.2025109082460403,5734,1
12,366,163,-0.197680190205574,5999,1
13,356,280,-0.1260689944028854,5088,1
14,383,228,-0.1669396609067917,5775,1
